BANKING,AXAxisBk,Hello! Your A/c no. 794071 has been debited by Rs. 90 on 14Apr18. The A/c balance is Rs. 11712.64. Info: GST @18% on Charge,,,,,,,,,,,,,,,,,,
REMINDER,AM-AxisBk,Hello! Your Welcome kit for a/c no. XX1779 has been delivered at your mailing address on 04-AUG-17 12.00.00 AM.,,,,,,,,,,,,,,,,,,
BANKING,AM-AMAZON,"Hi Customer, Your Amazon Pay balance has been updated with Rs 10500.0 as per your request. Total Balance is now Rs 10550.0. Thank You",,,,,,,,,,,,,,,,,,
OTHER,VM-CREDIT,"Hi, A Credit Score of above 750 increases your chances of getting a loan or Credit Card. Check it now for FREE in less than 3 min bbzr.co/2vDq33L",,,,,,,,,,,,,,,,,,
OTHER,VM-BNKBZR,"Hi, Using a Credit Card wisely improves your Credit Score. Apply now. bbzr.co/2vBGtgi",,,,,,,,,,,,,,,,,,
OTHER,VK-CREDIT,"Hi, want Credit Card approval in 24 hrs? Apply now. bankbzr.com/d/JnK8lY/gb3 TnC apply",,,,,,,,,,,,,,,,,,
OTHER,AD-ICICIB,Hi! We will be making PIN mandatory for your Pockets Physical Card from 13-Apr-18. Login to Pockets and click on your wallet to generate your PIN.,,,,,,,,,,,,,,,,,,
OTHER,AM-FCTZEN,"HURRY!!!! Your 1000 Special Reward Points Lapse on 30 Nov'17! These Special Reward Points credited to your First Citizen Card ending 9467 are redeemable at Shoppers Stop on purchase of Rs. 4000 from Arrow, Arrow Suits & Jackets, Arrow Sports & Arrow New York. T&C apply.",,,,,,,,,,,,,,,,,,
REMINDER,AM-SBICRD,"Incorrect PIN entered. Trxn of Rs.254.00 done at SPICY CRUNCH   55 on your SBI Card ending XX8886 could not be authorized. Retry with correct PIN. To generate PIN instantly, click http://bit.ly/getPINnow or call 18601801290.",,,,,,,,,,,,,,,,,,
BANKING,AXHDFCBK,"INR 1,00,000.00 Dr to A/c No XX5271 towards FT - Dr - 16421000009757 - G VEERA CHARY Val 06-APR-18. Clr Bal INR 64,39,514.13.",,,,,,,,,,,,,,,,,,
BANKING,AM-HDFCBK,"INR 1,50,000.00 deposited to A/c No XX0880 towards IMPS-803218580108-SELECTCITYFLY TOUR A-HDFC-xxxxxxxx1144-rohit bhai Val 01-FEB-18. Clr Bal is INR 2,71,738.02 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AM-HDFCBK,"INR 1,80,000.00 deposited to A/c No XX0880 towards IMPS-733520720945-SELECTCITYFLY TOUR A-HDFC-xxxxxxxx1144-Rohit Bhai return Val 01-DEC-17. Clr Bal is INR 2,08,034.92 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AD-HDFCBK,"INR 1,80,000.00 Dr to A/c No XX0880 towards IMPS-726621391495-Selectcityfly tour and travels-IDIB-xxxxxx9193-Bhai Val 23-SEP-17. Clr Bal INR 40,703.46.",,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK,"INR 10,00,000.00 Dr to A/c No XX5271 towards FT - Dr - 50200001683843 - SMARTRON INDIA PVT LTD Val 18-APR-18. Clr Bal INR 33,71,934.13.",,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK,"INR 10,00,000.00 Dr to A/c No XX5271 towards FT - Dr - 50200024300478 - MANGALARAM MALLESH Val 12-APR-18. Clr Bal INR 47,97,414.13.",,,,,,,,,,,,,,,,,,
BANKING,AD-HDFCBK,"INR 10,000.00 deposited to A/c No XX5271 towards IB FUNDS TRANSFER CR-05451140269346 Val 27-MAR-18. Clr Bal is INR 10,06,158.13 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,BW-HDFCBK,"INR 10,000.00 deposited to A/c No XX6892 towards NEFT Cr-ICIC0SF0002-N  JAWAHAR-N JAWAHAR-889392413 Val 28-DEC-15. Clr Bal is INR 23,512.48 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,BW-HDFCBK4,"INR 10,000.00 deposited to A/c No XX6892 towards NEFT Cr-SBIN0000900-Mr  JAWAHAR  N-JawaHdfcPdy-SBIN315304837393 Val 31-OCT-15. Clr Bal is INR 21,145.90 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AXHDFCBK,"INR 10,000.00 deposited to A/c No XX8550 towards IMPS-809523624329-N VIKAS RAI-HDFC-xxxxxxxxxxx6312-Transfer Val 05-APR-18. Clr Bal is INR 23,882.30 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AXHDFCBK,"INR 10,000.00 Dr to A/c No XX1221 towards IMPS-810421310536-Siva Rama Krishnan-CITI-xxxxxx3441-Mohana fees Val 14-APR-18. Clr Bal INR 14,382.75.",,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK8,"INR 10,000.00 Dr to A/c No XX3900 towards UPI--@icici-708912941384-To icici Val 30-MAR-17. Clr Bal INR 86,660.59.",,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK7,"INR 10,000.00 Dr to A/c No XX3900 towards UPI--@icici-708912941466-To icici Val 30-MAR-17. Clr Bal INR 76,660.59.",,,,,,,,,,,,,,,,,,
BANKING,AMHDFCBK,"INR 10,000.00 Dr to A/c No XX3900 towards UPI--@icici-713500962578-Ashif accident Val 15-MAY-17. Clr Bal INR 71,410.59.",,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK0,"INR 10,000.00 Dr to A/c No XX3900 towards UPI--918129703763@federal-709810902369-Appu kal Val 08-APR-17. Clr Bal INR 64,416.59.",,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK,"INR 10,000.00 Dr to A/c No XX3900 towards UPI--918129703763@federal-709810903032-Appu Val 08-APR-17. Clr Bal INR 54,416.59.",,,,,,,,,,,,,,,,,,
BANKING,AM-AxisBk,INR 1000 was spent on your Credit Card XX1564 on 25-Jan-18 at NAGA GOWRI SAMPATH. Avbl Lmt: Rs.6368.58 Track spends with Axis Mobile: m.axisbank.com/ccdl,,,,,,,,,,,,,,,,,,
BANKING,AM-AxisBk,INR 1058 was spent on your Credit Card XX1564 on 20-Jan-18 at MACHALI. Avbl Lmt: Rs.8266.58 Track spends with Axis Mobile: m.axisbank.com/ccdl,,,,,,,,,,,,,,,,,,
BANKING,AXHDFCBK,"INR 11,505.00 Dr to A/c No XX8550 towards BAJAJ FINEMI-BF-1319455-390158 Val 02-APR-18. Clr Bal INR 3,292.30.",,,,,,,,,,,,,,,,,,
BANKING,AX-HDFCBK,"INR 11,505.00 Dr to A/c No XX8550 towards BAJAJ FINEMI-BF-1319455-390631 Val 03-MAR-18. Clr Bal INR 69,562.98.",,,,,,,,,,,,,,,,,,
BANKING,AD-HDFCBK,"INR 11,505.00 Dr to A/c No XX8550 towards BAJAJ FINEMI-BF-1319455-395162 Val 02-FEB-18. Clr Bal INR 21,971.87.",,,,,,,,,,,,,,,,,,
BANKING,VM-HDFCBK,"INR 11,917.44 Dr to A/c No XX2992 towards CC 000489377XXXXXX0445 autopay SI-TAD Val 03-APR-17. Clr Bal INR 20,155.81.",,,,,,,,,,,,,,,,,,
BANKING,VK-AxisBk,INR 1239.7 was spent on your Credit Card XX1564 on 19-Jan-18 at JABONG. Avbl Lmt: Rs.9324.58 Track spends with Axis Mobile: m.axisbank.com/ccdl,,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK,"INR 13,746.00 Dr to A/c No XX8550 towards BAJAJ FINEMI-BF-1319456-375232 Val 02-APR-18. Clr Bal INR 14,797.30.",,,,,,,,,,,,,,,,,,
BANKING,AD-HDFCBK,"INR 13,746.00 Dr to A/c No XX8550 towards BAJAJ FINEMI-BF-1319456-380671 Val 02-FEB-18. Clr Bal INR 33,476.87.",,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK,"INR 14,410.00 Dr to A/c No XX8550 towards EMI 48050859 Chq S48050859110 041848050859 Val 05-APR-18. Clr Bal INR 13,882.30.",,,,,,,,,,,,,,,,,,
BANKING,AX-HDFCBK,"INR 14,410.00 Dr to A/c No XX8550 towards EMI 48050859 Chq S4805085919 031848050859 Val 05-MAR-18. Clr Bal INR 3,874.98.",,,,,,,,,,,,,,,,,,
BANKING,AM-HDFCBK0,"INR 15,000.00 Dr to A/c No XX4753 towards IMPS-712107331279-Pratibha Agarwal-KKBK-xxxxxxxx9860-2nd installment ..TTC_   Val 01-MAY-17. Clr Bal INR 76,614.43.",,,,,,,,,,,,,,,,,,
BANKING,AD-HDFCBK,"INR 2,00,000.00 deposited to A/c No XX0880 towards NEFT Cr-ICIC0SF0002-SELECTCITYFLY TOUR AND TRAVELS-rohit kumar rathi-20480949321DC Val 31-MAR-18. Clr Bal is INR 8,80,424.02 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AD-HDFCBK,"INR 2,00,000.00 Dr to A/c No XX0880 towards IMPS-730118383694-Selectcityfly tour and travels-IDIB-xxxxxx9193-Bhai Val 28-OCT-17. Clr Bal INR 2,93,905.22.",,,,,,,,,,,,,,,,,,
BANKING,DM-HDFCBK,"INR 2,00,000.00 Dr to A/c No XX0880 towards IMPS-730412367802-Selectcityfly tour and travels-IDIB-xxxxxx9193-Bhai Val 31-OCT-17. Clr Bal INR 91,905.22.",,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK,"INR 2,80,000.00 Dr to A/c No XX5271 towards RTGS Dr-KKBK0007451-L BAJRANG PERSHAD JEWELLERS-FINANCIAL DI-HDFCR52018041273826417 Val 12-APR-18. Clr Bal INR 60,97,414.13.",,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK,"INR 2,83,200.00 debited to A/c No XX3843 towards chq no. 000896 . Value Date: 12-APR-18 . Clear Bal. is INR 73,33,567.86 .",,,,,,,,,,,,,,,,,,
BANKING,AD-HDFCBK,"INR 20,000.00 deposited to A/c No XX8550 towards IMPS-803216303020-VIKAS RAI N-HDFC-xxxxxxxx5922-Investment Val 01-FEB-18. Clr Bal is INR 99,754.87 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AXHDFCBK,"INR 20,000.00 deposited to A/c No XX8550 towards IMPS-809209590069-VIKAS RAI N-HDFC-xxxxxxxx5922-Investment Val 02-APR-18. Clr Bal is INR 77,821.30 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,BW-SBIPSG,INR 2000 credited to your A/c No XXXXXXX4064 on 28/11/2016 through NEFT with UTR N333160210941510,,,,,,,,,,,,,,,,,,
BANKING,BZ-HDFCBK0,"INR 22,880.00 deposited to A/c No XX1927 towards SMARTRON INDIA PVT LTD Val 29-APR-17. Clr Bal is INR 23,149.05 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,DM-AxisBk,INR 2447 was spent on your Credit Card XX4867 on 12-Apr-17 at DMART Tolichowki H. Avbl Lmt: Rs.37589.54 Track spends with Axis Mobile: m.axisbank.com/ccdl,,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK,"INR 25,000.00 deposited to A/c No XX8550 towards 50100028118375  -TPT-Pay Val 04-APR-18. Clr Bal is INR 28,292.30 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AX-HDFCBK,"INR 25,000.00 Dr to A/c No XX8550 towards UPI-055801505957-veekirai@okicici-PAY-806209927897-Return Val 03-MAR-18. Clr Bal INR 81,067.98.",,,,,,,,,,,,,,,,,,
BANKING,AD-HDFCBK,"INR 3,00,000.00 deposited to A/c No XX5271 towards IB FUNDS TRANSFER CR-20831930000911 Val 29-MAR-18. Clr Bal is INR 28,06,158.13 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AX-HDFCBK,"INR 3,00,000.00 Dr to A/c No XX0911 towards IB FUNDS TRANSFER DR-50200000265271 Val 29-MAR-18. Clr Bal INR 5,49,197.87.",,,,,,,,,,,,,,,,,,
BANKING,AXHDFCBK,"INR 3,00,000.00 Dr to A/c No XX5271 towards FT - Dr - 50100191257403 - ALLAM PARMESH Val 12-APR-18. Clr Bal INR 57,97,414.13.",,,,,,,,,,,,,,,,,,
BANKING,AXHDFCBK,"INR 3,60,000.00 Dr to A/c No XX5271 towards RTGS Dr-CITI0000004-shankar reddy bogala-FINANCIAL DI-HDFCR52018041774376025 Val 17-APR-18. Clr Bal INR 43,71,934.13.",,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK,"INR 30,000.00 deposited to A/c No XX9346 towards IB FUNDS TRANSFER CR-50200000265271 Val 10-APR-18. Clr Bal is INR 48,321.66 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AXHDFCBK,"INR 30,000.00 Dr to A/c No XX5271 towards IB FUNDS TRANSFER DR-05451140269346 Val 10-APR-18. Clr Bal INR 63,99,514.13.",,,,,,,,,,,,,,,,,,
BANKING,AM-HDFCBK,"INR 30,574.00 deposited to A/c No XX3926 towards SMARTRON INDIA PVT LTD Val 29-APR-17. Clr Bal is INR 31,316.47 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AM-AxisBk,INR 398 was spent on your Credit Card XX1564 on 24-Jan-18 at BHARTI AIRTEL LIMI. Avbl Lmt: Rs.7368.58 Track spends with Axis Mobile: m.axisbank.com/ccdl,,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK,"INR 40,000.00 deposited to A/c No XX9346 towards CASH DEP GACHIBOWLI Val 13-APR-18. Clr Bal is INR 81,821.66 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK,"INR 40,337.00 Dr to A/c No XX9346 towards ECS D-LIC HOUSING FINANCE-7118000027240 Val 16-APR-18. Clr Bal INR 30,234.66.",,,,,,,,,,,,,,,,,,
BANKING,AXHDFCBK,"INR 49,278.00 Dr to A/c No XX8550 towards BAJAJ FINEMI-BF-1319455-375231 Val 02-APR-18. Clr Bal INR 28,543.30.",,,,,,,,,,,,,,,,,,
BANKING,AM-HDFCBK,"INR 49,278.00 Dr to A/c No XX8550 towards BAJAJ FINEMI-BF-1319455-380670 Val 02-FEB-18. Clr Bal INR 47,222.87.",,,,,,,,,,,,,,,,,,
BANKING,AM-HDFCBK,"INR 5,00,000.00 deposited to A/c No XX0880 towards NEFT Cr-ICIC0SF0002-SELECTCITYFLY TOUR AND TRAVELS-rohit kumar rathi-20301732431DC Val 03-OCT-17. Clr Bal is INR 5,73,051.55 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AD-HDFCBK,"INR 5,00,000.00 deposited to A/c No XX0880 towards NEFT Cr-ICIC0SF0002-SELECTCITYFLY TOUR AND TRAVELS-rohit kumar rathi-20422061961DC Val 08-FEB-18. Clr Bal is INR 6,88,625.02 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AD-HDFCBK,"INR 5,00,000.00 deposited to A/c No XX0880 towards NEFT Cr-ICIC0SF0002-SELECTCITYFLY TOUR AND TRAVELS-rohit kumar rathi-20480940461DC Val 31-MAR-18. Clr Bal is INR 6,80,424.02 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AD-HDFCBK,"INR 5,00,000.00 deposited to A/c No XX0911 towards CHQ DEP - HYDERABAD - MICR - 12 - BANK H Val 28-MAR-18. Clr Bal is INR 8,49,197.87 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AD-HDFCBK,"INR 50,000.00 Dr to A/c No XX0880 towards IMPS-731401301783-Rohit Kumar Rathi-CITI-xxxxxx1818-Citi Val 10-NOV-17. Clr Bal INR 1,53,810.06.",,,,,,,,,,,,,,,,,,
BANKING,AD-HDFCBK,"INR 50,000.00 Dr to A/c No XX8550 towards MICR CTS Val 19-FEB-18. Clr Bal INR 40,751.98.",,,,,,,,,,,,,,,,,,
BANKING,VKHDFCBK7,"INR 6,500.00 deposited to A/c No XX0712 towards 50100179024690  -TPT-Rent Val 02-JAN-17. Clr Bal is INR 16,536.42 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK,"INR 6,500.00 Dr to A/c No XX9346 towards IMPS-810119306566-Lankela Sindhu-ANDB-xxxxxxxxxxx9520-Triveni Val 11-APR-18. Clr Bal INR 41,821.66.",,,,,,,,,,,,,,,,,,
BANKING,ADHDFCBK,"INR 65,480.00 Dr to A/c No XX5271 towards NEFT Dr-ANDB0001945-S V CIVIL AND ELECTRICAL CONTACTS-FINANCIAL DI-N106180520662758 Val 16-APR-18. Clr Bal INR 47,31,934.13.",,,,,,,,,,,,,,,,,,
BANKING,VK-AxisBk,INR 70 was spent on your Credit Card XX1564 on 19-Jan-18 at NANDI ECONOMIC COR. Avbl Lmt: Rs.10564.28 Track spends with Axis Mobile: m.axisbank.com/ccdl,,,,,,,,,,,,,,,,,,
BANKING,VK-AxisBk,INR 70 was spent on your Credit Card XX1564 on 25-Jan-18 at NANDI ECONOMIC COR. Avbl Lmt: Rs.6298.58 Track spends with Axis Mobile: m.axisbank.com/ccdl,,,,,,,,,,,,,,,,,,
BANKING,AM-HDFCBK,"INR 70,000.00 deposited to A/c No XX0880 towards IMPS-730420194355-KARTHEEKTHIRUMALASET-HDFC-xxxxxxx6305-52 Val 31-OCT-17. Clr Bal is INR 3,41,841.22 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AD-AxisBk,INR 765 was spent on your Credit Card XX1564 on 25-Jan-18 at TAYO RESTAURANT. Avbl Lmt: Rs.5533.58 Track spends with Axis Mobile: m.axisbank.com/ccdl,,,,,,,,,,,,,,,,,,
BANKING,AM-HDFCBK,"INR 8,184.00 deposited to A/c No XX0880 towards Credit Interest Capitalised Val 30-JUN-17. Clr Bal is INR 10,02,526.87 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AM-HDFCBK,"INR 8,500.00 Dr to A/c No XX4753 towards IMPS-712920312488-Dodla Pratap Reddy-ICIC-xxxxxxxx8082-May rent paid ...  Val 09-MAY-17. Clr Bal INR 82,170.53.",,,,,,,,,,,,,,,,,,
BANKING,AM-HDFCBK,"INR 8,845.00 deposited to A/c No XX0880 towards Credit Interest Capitalised Val 30-SEP-17. Clr Bal is INR 1,98,206.55 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,BH-HDFCBK9,"INR 9,058.00 deposited to A/c No XX1927 towards RD Closure through Net Banking - 50400087638700 Val 15-APR-17. Clr Bal is INR 10,923.05 subject to clearing.",,,,,,,,,,,,,,,,,,
BANKING,AD-AxisBk,INR 923 was spent on your Credit Card XX1564 on 26-Jan-18 at VIBE SALEM. Avbl Lmt: Rs.970.58 Track spends with Axis Mobile: m.axisbank.com/ccdl,,,,,,,,,,,,,,,,,,
REMINDER,AM-NPCIBM,instamojo has requested Rs.3500.00 from you through UPI.,,,,,,,,,,,,,,,,,,
REMINDER,AD-BAJAJF,"Insurance applied with loan application no 404HOP69414128 is currently in process. Policy name: GROUP CREDIT SECURE, Policy owner name:NAVEEN KUMAR BUDDA , Premium: Rs.55,081 , Nominee name:HARIKA KONETI, Nominee relation: WIFE . Regards, Bajaj Finserv",,,,,,,,,,,,,,,,,,
REMINDER,AD-BAJAJF,"Insurance applied with loan application no 404HOP69414128 is currently in process. Policy name: INDIA FIRE, Policy owner name:NAVEEN KUMAR BUDDA , Premium: Rs.144,919 , Nominee name:HARIKA KOMETI, Nominee relation: WIFE . Regards, Bajaj Finserv",,,,,,,,,,,,,,,,,,
REMINDER,AX-iSKODA,"Insurance for SKODA FABIA KA03MJ-4919 will expire on 09-Apr-2018. To renew your insurance, contact us at 080-67831111 or crm@vinayakskoda.co.in",,,,,,,,,,,,,,,,,,
OTHER,AX-LNTFIN,"Interest rates as low as 8.35% (for salaried individuals) .Transfer your home loan to L&T Housing Finance, Also avail top up loan, to know more give miss call on 08030636116",,,,,,,,,,,,,,,,,,
OTHER,VM-043000,"Invest Rs.2,269/- monthly and get PENSION of Rs. 25k + 4.3 lacs at maturity with HDFC Life. To know more, Sms SP to 53030. T&C Apply.",,,,,,,,,,,,,,,,,,
PROMOTIONAL,DMEATKFC,"KFC Wednesday Offer 12 Pc Chicken Strips for Rs 300 only today! Save up to 37%! Walk-in,  Click http://bit.ly/12for300LSM /Call 08033994444. T&C",,,,,,,,,,,,,,,,,,
OTHER,AM-KOTAKM,"Kotak introduces 811 - a digital savings account. Get Zero Balance Banking, interest up to 6% p.a. in just 5 min http://bit.ly/Kotakm1 T&C apply",,,,,,,,,,,,,,,,,,
OTHER,TX-KOTAKM,"Kotak introduces 811 - a digital savings account. Get Zero Balance Banking, interest up to 6% p.a. in just 5 min http://bit.ly/Kotakm1 T&C apply",,,,,,,,,,,,,,,,,,
OTHER,DM-KOTAKM,"Kotak introduces 811 - a digital savings account. Get Zero Balance Banking, interest up to 6% p.a. in just 5 min http://bit.ly/Kotakm4 T&C apply",,,,,,,,,,,,,,,,,,
OTHER,AD-KOTAKM,"Kotak introduces 811 - an instant savings account. Get Zero Balance Banking, interest up to 6%* p.a. http://bit.ly/Kotakm4 *T&C apply.",,,,,,,,,,,,,,,,,,
OTHER,BH-FWALRT,Kotak Mahindra Bank Hiring Relationship Officer with annual salary 3.75 Lacs Per Annum through Kotak SO Program. Register here:   http://fwld.in/ksosms,,,,,,,,,,,,,,,,,,
REMINDER,TMCITIBK,KYC update for your Citi Credit Card ending 0128 is due. Submit your self attested KYC documents on Citibank Online or Citi Mobile. You can also send it to cardskyc@citi.com from your registered e-mail id (max size 2MB). Visit http://citi.asia/INSAD18 for details.,,,,,,,,,,,,,,,,,,
PROMOTIONAL,AMWSTSID,Last 2 days to avail your Rs.200 Gift Voucher! Shop @Westside from our SS'17 collection. Use Code:CS00644027 valid on purchase of Rs2k+! Ignore if redeemed. T&C,,,,,,,,,,,,,,,,,,
PROMOTIONAL,AM-GOIBIB,Last few hours to avail up to Rs.1500 Instant discount on all Domestic Flights using your HDFC Credit Card. https://go.ibi.bo/W1ad/MxSMK6z11I,,,,,,,,,,,,,,,,,,
REMINDER,AM-IPAYTM,"Looks like your Paytm transaction failed. Please upgrade your Android System Web View to fix this and try again. http://p-y.tm/QI0DIf you still face any issues, please call us at 9643-979797",,,,,,,,,,,,,,,,,,
BANKING,DMCBSSBI,LPG Subsidy of Rs. 124.63 has been credited to your A/c No.XXXXX447978 on 25/11/16.Download Buddy@ http://goo.gl/qUlXqL,,,,,,,,,,,,,,,,,,
REMINDER,HP-CITIBK,Mini Statement for Card ************0128.Total Due Rs.46890.69.Minimum due Rs.3558.95.Payment due 13-FEB-18. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,VMcitibk0,Mini Statement for Card ************2865.Total Due Rs.10948.21.Minimum due Rs.9685.94.Payment due 15-NOV-16. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,VMCITIBK,Mini Statement for Card ************2865.Total Due Rs.7599.25.Minimum due Rs.7599.25.Payment due 08-FEB-17. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,TM-CITIBK,Mini Statement for Card ************4238.Total Due Rs.23043.88.Minimum due Rs.1448.17.Payment due 28-FEB-18. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,TM-CITIBK,Mini Statement for Card ************4238.Total Due Rs.290800.47.Minimum due Rs.14540.02.Payment due 03-APR-18. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,AD-Citibk,Mini Statement for Card ************4238.Total Due Rs.41153.38.Minimum due Rs.2057.67.Payment due 28-SEP-17. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,AM-Citibk,Mini Statement for Card ************4238.Total Due Rs.47242.97.Minimum due Rs.2362.15.Payment due 29-NOV-17. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,AD-Citibk,Mini Statement for Card ************4238.Total Due Rs.51895.48.Minimum due Rs.2594.77.Payment due 30-OCT-17. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,AM-CITIBK,Mini Statement for Card ************4238.Total Due Rs.54576.91.Minimum due Rs.2728.85.Payment due 28-DEC-17. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,TM-CITIBK,Mini Statement for Card ************4238.Total Due Rs.74766.91.Minimum due Rs.3738.35.Payment due 30-APR-18. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,AD-CITIBK,Mini Statement for Card ************4238.Total Due Rs.75425.69.Minimum due Rs.3771.28.Payment due 30-AUG-17. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,AD-CITIBK,Mini Statement for Card ************4238.Total Due Rs.77623.78.Minimum due Rs.3881.19.Payment due 28-JUL-17. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,TM-CITIBK,Mini Statement for Card ************4238.Total Due Rs.84776.50.Minimum due Rs.5148.83.Payment due 29-JAN-18. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,TM-CITIBK,Mini Statement for Card ************4759.Total Due Rs.671335.17.Minimum due Rs.33566.76.Payment due 02-MAY-18. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,TM-CITIBK,Mini Statement for Card ************4759.Total Due Rs.842223.93.Minimum due Rs.42111.20.Payment due 05-MAR-18. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,AD-Citibk,Mini Statement for Card ************6617.Total Due Rs.133749.81.Minimum due Rs.6687.49.Payment due 03-OCT-17. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,AD-Citibk,Mini Statement for Card ************6617.Total Due Rs.428709.47.Minimum due Rs.50811.27.Payment due 02-DEC-17. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,AD-CITIBK,Mini Statement for Card ************6617.Total Due Rs.532596.46.Minimum due Rs.26629.82.Payment due 01-JAN-18. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
REMINDER,AD-CITIBK,Mini Statement for Card ************6617.Total Due Rs.57122.45.Minimum due Rs.2856.12.Payment due 03-JUL-17. Refer to your statement for more details. Enjoy convenience of accessing your card account anytime on Citi Mobile App. Click http://citi.asia/1T7sR3P to download.,,,,,,,,,,,,,,,,,,
